"conversation_id_str","created_at","favorite_count","full_text","id_str","image_url","in_reply_to_screen_name","lang","location","quote_count","reply_count","retweet_count","tweet_url","user_id_str","username"
"1797523050478575945","Mon Jun 03 06:57:46 +0000 2024","45","Sejak kapan adanya perdamaian tanpa pertumpahan darah??? Gak usah jauh-jauh ke Perancis emangnya lo gak liat video perwakilan suku Dayak pada protes karena IKN dan bilang siap mati di tanah mereka??? https://t.co/ISZ1fuTZmp","1797523050478575945","https://pbs.twimg.com/ext_tw_video_thumb/1797522940961148928/pu/img/1tFvjLCq_kCm7Q7F.jpg","","in","legal | she/her","1","1","28","https://x.com/mortcfi/status/1797523050478575945","1460611324333867009","mortcfi"
"1705049742668161064","Fri Sep 22 02:41:51 +0000 2023","4165","Pagi yang cerah di Ibu Kota Nusantara. Dari atas perbukitan ini terlihat jelas suasana pembangunan Ibu Kota Nusantara bangunan yang sudah berdiri dan infrastruktur kota yang sedang dikebut. Bersama beberapa menteri dan kepala otorita IKN di hari kedua kunjungan ke IKN ini https://t.co/fmTvmAJhuL","1705049742668161064","https://pbs.twimg.com/media/F6mNskTakAAU-FJ.jpg","","in","Jakarta","54","574","561","https://x.com/jokowi/status/1705049742668161064","366987179","jokowi"
"1798145211606163465","Wed Jun 05 00:10:01 +0000 2024","76","Di hadapan para investor Presiden Joko Widodo (Jokowi) menawarkan prospek Ibu Kota Nusantara (IKN) dengan mengacu pada kenaikan harga tanah yang terus berubah terus seiring pesatnya pembangunan infrastruktur. Baca di https://t.co/Lncx5ZpxRi https://t.co/Wa64rnuzej","1798145211606163465","https://pbs.twimg.com/media/GPRLYGtaEAAb6MX.jpg","","in","Jakarta","111","240","31","https://x.com/kompascom/status/1798145211606163465","23343960","kompascom"
"1797866922673123491","Tue Jun 04 05:44:11 +0000 2024","42","IKN jelas bukan untuk masyarakat. Kepentingannya terlalu oligarkis tapi masyarakat disuruh diam. Menolak berarti subversif dan menggangu keamanan memilih diam membiarkan kehancuran. https://t.co/WBzpoQ3fHs","1797866922673123491","https://pbs.twimg.com/media/GPNOcEjaEAAZHao.jpg","","in","imamnya @tucarino_","0","0","13","https://x.com/KemenperinRI/status/1797866922673123491","1030789552867139584","KemenperinRI"
"1629002244577443840","Fri Feb 24 06:16:15 +0000 2023","7651","Kawasan Ibu Kota Nusantara akan memiliki pusat latihan untuk mendukung persepakbolaan Indonesia. Di IKN akan dibangun setidaknya delapan lapangan sepak bola dan diharapkan selesai dalam satu tahun. Pembangunan lapangan sepak bola di IKN akan dibiayai FIFA. https://t.co/86oYRAfjoQ","1629002244577443840","https://pbs.twimg.com/media/Fptg5qzacAAJALW.jpg","","in","Jakarta","210","1015","711","https://x.com/jokowi/status/1629002244577443840","366987179","jokowi"
"1797226988874481905","Sun Jun 02 11:21:19 +0000 2024","1346","ooo .jadi proyek patung memorial park ikn yg nilainya ratusan miliar ini yang penunjukan langsung oleh jokowi tanpa tender tanpa sayembara tanpa konsultasi publik ini ternyata punya makna dalam buat si presiden yg sangat sayang anak2nya . https://t.co/U4hcroYgnN","1797226988874481905","https://pbs.twimg.com/ext_tw_video_thumb/1797226888617988096/pu/img/67dm6P492CI3gUPV.jpg","","in","twitterville","55","71","498","https://x.com/sociotalker/status/1797226988874481905","115438018","sociotalker"
"1584784665550151680","Tue Oct 25 05:51:22 +0000 2022","6124","Di geladak kapal menuju pelabuhan di Penajam Paser Utara untuk meninjau kawasan IKN siang ini. Dalam perjalanan selama satu jam tadi kapal melintas di bawah Jembatan Pulau Balang yang menghubungkan Balikpapan dan IKN. Perjalanan ini juga menyusuri jalur logistik untuk IKN. https://t.co/NcCnuw3fh7","1584784665550151680","https://pbs.twimg.com/media/Ff5JQTDUUAAzA9t.jpg","","in","Jakarta","52","592","649","https://x.com/jokowi/status/1584784665550151680","366987179","jokowi"
"1797506416259039362","Mon Jun 03 05:51:40 +0000 2024","15","Pernah satu meja sama om Dhony Rahajoe di sebuah Business Market Sounding utk delegasi bisnis negara tetangga.. Dia presentasi soal peluang bisnis di IKN dan gw bicara soal maen galasin dan tek kadal.. Dan skrg beliau mundur dari IKN.. https://t.co/s5MUFsttgr","1797506416259039362","https://pbs.twimg.com/media/GPIGjiVaAAAaU5_.jpg","","in","Tomage-Fakfak, Indonesia","0","1","1","https://x.com/Reiza_Patters/status/1797506416259039362","30766806","Reiza_Patters"
"1797493483131035862","Mon Jun 03 05:00:16 +0000 2024","6","Kita jogetin aja lah Darling Ngehong BREAKING NEWS Bambang Susantono Mundur dari Kepala Otorita IKN https://t.co/892W63BZ2W","1797493483131035862","https://pbs.twimg.com/ext_tw_video_thumb/1797493320815722496/pu/img/YZm4QVtBGRKnBOpk.jpg","","in","","0","0","2","https://x.com/165Hati/status/1797493483131035862","1752532657639165952","165Hati"
"1797774287782440961","Mon Jun 03 23:36:05 +0000 2024","2","Sekretaris Jenderal PDI Perjuangan Hasto Kristiyanto mengungkap mundurnya Bambang Susantono ini adalah sebagai bagian dari perencanaan yang tidak matang. | #IKN #HastoKristiyanto #PDIP #BambangSusantono https://t.co/m6n7pHSVgu","1797774287782440961","https://pbs.twimg.com/media/GPL528magAAmi2f.jpg","","in","Jakarta","1","3","3","https://x.com/kompascom/status/1797774287782440961","23343960","kompascom"
"1693652885584912487","Mon Aug 21 15:54:49 +0000 2023","3416","Teman teman yang dari Kaltim dan wilayah lain dari Kalimantan apakah ada demo Penolakan IKN seperti yang disebarkan oleh org org yang gak ingin kita orang Kalimantan Maju dan sejahtera? Setahu saya setelah Majelis Adat Dayak Nasional dan Para Sultan yg ada di Kalimantan https://t.co/ELx3mZt8d5","1693652885584912487","https://pbs.twimg.com/media/F4EQUgPaIAE2lbL.jpg","","in","PALANGKARAYA","50","649","666","https://x.com/PakatDayak_/status/1693652885584912487","1394912376814665730","PakatDayak_"
"1768486424096235701","Fri Mar 15 03:56:35 +0000 2024","29316","Dibantah stanford lgsg aowkwk https://t.co/3DOq7d5aKs https://t.co/wBlIUcrc0I","1768486424096235701","https://pbs.twimg.com/media/GIrtB7rbMAA0Xg3.jpg","","in","0base1 — 304호의","2302","726","7690","https://x.com/aniesjjang/status/1768486424096235701","1059701864","aniesjjang"
"1767043522912567624","Mon Mar 11 04:23:00 +0000 2024","3692","Tapi di TikTok banyak postingan dan komen yang siap mendukung berita ini Stanford di IKN. Ok gas.. https://t.co/nKj4wH734R","1767043522912567624","https://pbs.twimg.com/media/GIXMrThaEAAGUVX.jpg","","in","Jakarta Selatan, DKI Jakarta","382","276","470","https://x.com/ismailfahmi/status/1767043522912567624","34075325","ismailfahmi"
"1795702920182386815","Wed May 29 06:25:13 +0000 2024","148","Strategi di IKN mungkin kaya gini yang mereka sebut sebagai Transformasi Bekerja Sumber: Buku Saku KIPP Kementerian PUPR https://t.co/KYNJvOZF25","1795702920182386815","https://pbs.twimg.com/media/GOud69laYAAwbOs.png","","in","Indonesia ","1","8","29","https://x.com/stravenues/status/1795702920182386815","1764278689188237312","stravenues"
